GANTT_FILE


# sequences   = 32
# motifs      = 99
motif length  = 10


species sequence lengths:

	human      : 2000
	orangutan  : 2000
	gibbon     : 2000
	baboon     : 2000
	macaque    : 2000
	galago     : 2000
	rabbit     : 2000
	gpig       : 2000
	mouse      : 2000
	nrat       : 2000
	squirrel   : 2000
	eushrew    : 2000
	megabat    : 2000
	microbat   : 2000
	orca       : 2000
	dolphin    : 2000
	sheep      : 2000
	cow        : 2000
	horse      : 2000
	rhino      : 2000
	cat        : 2000
	ferret     : 2000
	dog        : 2000
	walrus     : 2000
	panda      : 2000
	armadillo  : 2000
	elephant   : 2000
	manatee    : 2000
	turtle     : 2000
	chicken    : 1662
	wfrog      : 2000
	coelacanth : 2000


Motif number	Species   	Position	F/R	Match score

           1	human     	1716    	F	10      
           1	orangutan 	1234    	F	8       
           1	orangutan 	1314    	F	8       
           1	orangutan 	1509    	R	8       
           1	orangutan 	1719    	F	8       
           1	orangutan 	1888    	R	8       
           1	gibbon    	92      	R	8       
           1	gibbon    	1206    	F	8       
           1	gibbon    	1493    	R	8       
           1	gibbon    	1966    	F	8       
           1	gibbon    	1971    	F	8       
           1	baboon    	324     	R	8       
           1	baboon    	329     	R	8       
           1	baboon    	1677    	F	8       
           1	baboon    	1951    	R	8       
           1	macaque   	1715    	F	10      
           1	galago    	1722    	F	10      
           1	rabbit    	1412    	F	10      
           1	gpig      	1397    	F	10      
           1	mouse     	114     	R	9       
           1	mouse     	1016    	R	9       
           1	mouse     	1522    	F	9       
           1	mouse     	1632    	F	9       
           1	nrat      	1681    	F	10      
           1	squirrel  	1449    	F	10      
           1	eushrew   	1330    	F	10      
           1	megabat   	1395    	F	10      
           1	microbat  	1149    	R	9       
           1	microbat  	1310    	F	9       
           1	microbat  	1394    	F	9       
           1	microbat  	1510    	R	9       
           1	orca      	1627    	F	10      
           1	dolphin   	1397    	F	10      
           1	sheep     	1719    	F	10      
           1	cow       	1610    	F	10      
           1	horse     	1716    	F	10      
           1	rhino     	1717    	F	10      
           1	cat       	1670    	F	10      
           1	ferret    	1448    	F	10      
           1	dog       	1670    	F	10      
           1	walrus    	1706    	F	10      
           1	panda     	1411    	F	10      
           1	armadillo 	1719    	F	10      
           1	elephant  	1448    	F	10      
           1	manatee   	1432    	F	10      
           1	turtle    	148     	F	8       
           1	chicken   	1034    	F	8       
           1	chicken   	1311    	F	8       
           1	chicken   	1503    	R	8       
           1	wfrog     	61      	R	7       
           1	wfrog     	136     	F	7       
           1	wfrog     	305     	R	7       
           1	wfrog     	760     	F	7       
           1	wfrog     	781     	R	7       
           1	wfrog     	786     	R	7       
           1	wfrog     	911     	F	7       
           1	wfrog     	952     	R	7       
           1	wfrog     	1222    	F	7       
           1	wfrog     	1227    	F	7       
           1	wfrog     	1662    	R	7       
           1	wfrog     	1690    	F	7       
           1	wfrog     	1735    	F	7       
           1	wfrog     	1737    	F	7       
           1	wfrog     	1740    	F	7       
           1	wfrog     	1801    	R	7       
           1	wfrog     	1802    	R	7       
           1	wfrog     	1827    	R	7       
           1	wfrog     	1832    	R	7       
           1	wfrog     	1859    	F	7       
           1	wfrog     	1885    	R	7       
           1	wfrog     	1928    	R	7       
           1	wfrog     	1970    	R	7       
           1	coelacanth	1844    	F	9       

           2	human     	1689    	F	10      
           2	orangutan 	125     	F	7       
           2	orangutan 	156     	R	7       
           2	orangutan 	243     	F	7       
           2	orangutan 	334     	F	7       
           2	orangutan 	379     	F	7       
           2	orangutan 	468     	F	7       
           2	orangutan 	847     	F	7       
           2	orangutan 	850     	F	7       
           2	orangutan 	889     	R	7       
           2	orangutan 	902     	R	7       
           2	orangutan 	1141    	R	7       
           2	orangutan 	1762    	F	7       
           2	gibbon    	1567    	F	9       
           2	baboon    	112     	R	7       
           2	baboon    	415     	R	7       
           2	baboon    	455     	R	7       
           2	baboon    	460     	R	7       
           2	baboon    	463     	R	7       
           2	baboon    	481     	F	7       
           2	baboon    	540     	R	7       
           2	baboon    	617     	R	7       
           2	baboon    	668     	R	7       
           2	baboon    	685     	F	7       
           2	baboon    	726     	R	7       
           2	baboon    	753     	F	7       
           2	baboon    	768     	F	7       
           2	baboon    	903     	F	7       
           2	baboon    	1285    	F	7       
           2	baboon    	1330    	R	7       
           2	baboon    	1542    	F	7       
           2	baboon    	1581    	R	7       
           2	macaque   	1688    	F	10      
           2	galago    	1695    	F	10      
           2	rabbit    	1385    	F	10      
           2	gpig      	1370    	F	10      
           2	mouse     	1605    	F	10      
           2	nrat      	1654    	F	10      
           2	squirrel  	1422    	F	10      
           2	eushrew   	1303    	F	10      
           2	megabat   	1369    	F	10      
           2	microbat  	1367    	F	9       
           2	orca      	1600    	F	10      
           2	dolphin   	1370    	F	10      
           2	sheep     	1692    	F	9       
           2	cow       	1583    	F	9       
           2	horse     	1689    	F	10      
           2	rhino     	1690    	F	10      
           2	cat       	1643    	F	10      
           2	ferret    	1421    	F	10      
           2	dog       	1643    	F	10      
           2	walrus    	1679    	F	10      
           2	panda     	1384    	F	10      
           2	armadillo 	1692    	F	10      
           2	elephant  	1421    	F	10      
           2	manatee   	1405    	F	10      
           2	turtle    	803     	R	8       
           2	chicken   	342     	F	7       
           2	chicken   	1267    	R	7       
           2	wfrog     	1159    	F	9       
           2	wfrog     	1771    	F	9       
           2	coelacanth	1386    	F	8       

           3	human     	1857    	F	10      
           3	orangutan 	606     	R	8       
           3	orangutan 	1466    	R	8       
           3	orangutan 	1633    	F	8       
           3	orangutan 	1670    	F	8       
           3	orangutan 	1925    	R	8       
           3	gibbon    	61      	F	8       
           3	gibbon    	1221    	F	8       
           3	gibbon    	1777    	F	8       
           3	baboon    	64      	R	9       
           3	baboon    	1148    	R	9       
           3	macaque   	1856    	F	10      
           3	galago    	1863    	F	10      
           3	rabbit    	1553    	F	10      
           3	gpig      	1538    	F	9       
           3	mouse     	668     	R	9       
           3	mouse     	1790    	F	9       
           3	nrat      	746     	R	9       
           3	nrat      	1839    	F	9       
           3	squirrel  	1590    	F	10      
           3	eushrew   	1470    	F	10      
           3	megabat   	1536    	F	10      
           3	microbat  	1536    	F	10      
           3	orca      	1770    	F	10      
           3	dolphin   	1539    	F	10      
           3	dolphin   	1770    	F	10      
           3	sheep     	1838    	F	9       
           3	cow       	1752    	F	9       
           3	horse     	1858    	F	10      
           3	rhino     	1858    	F	10      
           3	cat       	1811    	F	10      
           3	ferret    	1589    	F	9       
           3	dog       	1811    	F	10      
           3	walrus    	198     	F	9       
           3	walrus    	1847    	F	9       
           3	panda     	1528    	F	9       
           3	armadillo 	1860    	F	10      
           3	elephant  	1569    	F	10      
           3	manatee   	1556    	F	9       
           3	turtle    	154     	F	7       
           3	turtle    	1127    	F	7       
           3	turtle    	1337    	R	7       
           3	turtle    	1366    	F	7       
           3	turtle    	1592    	F	7       
           3	turtle    	1919    	F	7       
           3	chicken   	612     	F	8       
           3	chicken   	817     	F	8       
           3	wfrog     	1828    	F	10      
           3	coelacanth	106     	R	7       
           3	coelacanth	470     	R	7       
           3	coelacanth	1260    	R	7       
           3	coelacanth	1706    	R	7       
           3	coelacanth	1808    	R	7       
           3	coelacanth	1871    	F	7       

           4	human     	984     	R	10      
           4	human     	1835    	F	10      
           4	orangutan 	1489    	R	10      
           4	gibbon    	489     	F	8       
           4	gibbon    	582     	R	8       
           4	gibbon    	1857    	F	8       
           4	baboon    	1931    	R	10      
           4	macaque   	985     	R	10      
           4	macaque   	1834    	F	10      
           4	galago    	122     	R	8       
           4	galago    	803     	F	8       
           4	galago    	1010    	R	8       
           4	galago    	1623    	R	8       
           4	galago    	1841    	F	8       
           4	galago    	1847    	R	8       
           4	galago    	1955    	F	8       
           4	rabbit    	1480    	F	9       
           4	rabbit    	1531    	F	9       
           4	gpig      	714     	R	10      
           4	mouse     	1768    	F	9       
           4	nrat      	1817    	F	9       
           4	squirrel  	709     	R	10      
           4	eushrew   	624     	R	9       
           4	eushrew   	1234    	R	9       
           4	eushrew   	1448    	F	9       
           4	megabat   	654     	R	10      
           4	microbat  	622     	R	9       
           4	microbat  	734     	F	9       
           4	microbat  	1514    	F	9       
           4	orca      	896     	R	9       
           4	orca      	1296    	F	9       
           4	orca      	1748    	F	9       
           4	dolphin   	666     	R	9       
           4	dolphin   	1066    	F	9       
           4	dolphin   	1517    	F	9       
           4	dolphin   	1585    	F	9       
           4	dolphin   	1748    	F	9       
           4	sheep     	955     	R	9       
           4	sheep     	1816    	F	9       
           4	cow       	850     	R	9       
           4	cow       	1730    	F	9       
           4	horse     	952     	R	10      
           4	rhino     	950     	R	10      
           4	cat       	915     	R	10      
           4	ferret    	285     	F	9       
           4	ferret    	1567    	F	9       
           4	dog       	745     	F	9       
           4	dog       	944     	R	9       
           4	dog       	1289    	F	9       
           4	dog       	1789    	F	9       
           4	walrus    	953     	R	10      
